Codice stazione	Provincia	Localita'	Nome	Tipo	Latitudine	Longitudine	slm
2	Roma	Roma	Preneste	Background Urbana	41.886018	12.541614	37
3	Roma	Roma	Francia	Traffico Urbana	41.947447	12.469588	43
5	Roma	Roma	Magna Grecia	Traffico Urbana	41.883064	12.508939	49
8	Roma	Roma	Cinecitta	Background Urbana	41.857720	12.568665	53
10	Roma	Colleferro	Colleferro-Oberdan	Industriale/Background Suburbana	41.730840	13.004350	219
11	Roma	Colleferro	Colleferro-Europa	Industriale/Background Suburbana	41.725010	13.009575	223
14	Roma	Allumiere	Allumiere	Background Rurale	42.157741	11.908744	542
15	Roma	Civitavecchia	Civitavecchia	BackGround Urbana	42.091629	11.802466	26
16	Roma	Guidonia	Guidonia	Traffico Suburbana	41.995679	12.726371	89
17	Rieti	Rieti	Rieti 1	Traffico Urbana	42.404093	12.858224	397
20	Latina	Latina	Via Tasso	Traffico Urbana	41.464025	12.913039	21
23	Latina	Aprilia	Aprilia 2	Background Urbana	41.595344	12.653581	83
27	Frosinone	Ceccano	Ceccano	Traffico Urbana	41.570000	13.337190	130
28	Frosinone	Ferentino	Ferentino	Traffico Urbana	41.690000	13.250411	316
29	Frosinone	Anagni	Anagni	Background Urbana	41.750000	13.149685	401
32	Viterbo	Viterbo	Viterbo	Traffico Urbana	42.422058	12.109125	338
35	Frosinone	Alatri	Alatri	Background Urbana	41.730000	13.338333	445
36	Frosinone	Fontechiari	Fontechiari	Background Rurale	41.670000	13.674472	388
37	Rieti	Leonessa	Leonessa	Background Rurale	42.572593	12.961982	948
39	Roma	Roma	Villa Ada	Background Urbano	41.932874	12.506971	50
40	Roma	Roma	Castel di Guido	Background Rurale	41.889438	12.266300	61
41	Roma	Roma	Cavaliere	Background Suburbana	41.929383	12.658363	48
45	Roma	Ciampino	Ciampino	Traffico Urbana	41.797880	12.607033	134
47	Roma	Roma	Fermi	Traffico Urbana	41.864194	12.469531	26
48	Roma	Roma	Bufalotta	Background Urbana	41.947649	12.533682	41
49	Roma	Roma	Cipro	Background Urbana	41.906358	12.447596	31
51	Latina	Latina-Scalo	Latina-Scalo	Traffico Urbana	41.531431	12.946064	18
52	Frosinone	Cassino	Cassino	Traffico Urbana	41.490000	13.830690	41
55	Roma	Roma	Tiburtina	Traffico Urbana	41.910257	12.548870	32
56	Roma	Roma	Arenula	Background Urbana	41.894020	12.475368	31
57	Roma	Roma	Malagrotta	Background Suburbana	41.874894	12.345598	n.d.
59	Viterbo	Acquapendente	Acquapendente	Background Rurale	42.736649	11.876578	436
60	Roma	Civitavecchia	Civ. Porto	Industriale	42.097053	11.788354	n.d.
51	Latina	Gaeta	Gaeta	Background Urbana	41.223074	13.570481	4
62	Frosinone	Frosinone scalo	Frosinone Scalo	Traffico Urbana	41.620000	13.330810	161
63	Latina	Latina	Viale De Chirico	Traffico Urbana	41.451131	12.891731	21
71	Frosinone	Frosinone	Frosinone Mazzini	Traffico Urbana	41.639666	13.348913	n.d.
83	Roma	Civitavecchia	Civ. Villa Albani	Traffico Urbana	42.099363	11.798061	n.d.
84	Roma	Civitavecchia	Civ. Via Morandi	Traffico Urbana	42.086803	11.806498	n.d.
85	Roma	Civitavecchia	Civ. Via Roma	Traffico Urbana	42.094147	11.795509	n.d.
90	Viterbo	Civita Castellana	Civita Castellana	Background Urbana	42.301800	12.413200	146
86	Roma	Fiumicino	Fiumicino Porto	Industriale/Background Suburbana	n.d	n.d	n.d
87	Roma	Fiumicino	Fiumicino Villa Guglielmi	Traffico Urbana	n.d	n.d	n.d
