day,BENZENE,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2016-01-01,345.8565217391305,81.15217391304348,22779.82608695652,29903.043478260868,64837.739130434784,13917.04347826087,20983.956521739132,6618.739130434783,254.1173913043477
2016-02-01,197.68260869565228,56.05217391304349,11706.695652173914,23028.782608695652,40982.913043478264,20639.08695652174,16108.260869565218,3362.608695652174,150.104347826087
2016-03-01,223.8695652173913,55.4739130434783,9581.0,24517.91304347826,39223.13043478261,23955.17391304348,14135.869565217392,3899.3478260869565,150.35217391304352
2016-04-01,177.98260869565215,45.03478260869561,8014.826086956522,23398.0,35695.086956521736,26596.869565217392,15533.0,3487.1304347826085,233.39999999999986
2016-05-01,143.1478260869564,40.19565217391296,6561.086956521739,20752.565217391304,30822.565217391304,31386.695652173912,12819.565217391304,2778.8260869565215,171.84782608695662
2016-06-01,141.25652173913045,39.91739130434785,6357.173913043478,19794.782608695652,29560.17391304348,27260.652173913044,13641.173913043478,3107.913043478261,150.33478260869572
2016-07-01,133.0217391304348,38.56956521739132,6056.391304347826,21842.739130434784,31139.91304347826,29505.91304347826,15331.0,3578.478260869565,210.0608695652174
2016-08-01,102.55652173913045,35.37391304347834,4854.739130434783,18669.434782608696,26122.695652173912,30649.304347826088,13118.739130434782,3049.304347826087,185.6608695652175
2016-09-01,195.63478260869556,44.77391304347829,9445.869565217392,24987.652173913044,39472.65217391304,21495.521739130436,13142.782608695652,3571.217391304348,154.295652173913
2016-10-01,251.84347826086955,59.27391304347831,15233.04347826087,25892.82608695652,49241.65217391304,16987.08695652174,13469.347826086956,3404.9565217391305,153.3782608695653
2016-11-01,314.2739130434784,72.70000000000003,21322.0,27256.347826086956,59948.434782608696,14252.0,15484.347826086956,4088.304347826087,149.3478260869565
2016-12-01,584.8391304347825,105.32173913043476,41174.739130434784,37039.434782608696,100189.0,10647.95652173913,27370.0,9421.91304347826,226.08260869565217
2017-01-01,1.973913043478261,0.2217391304347826,60.82608695652174,61.52173913043478,154.8695652173913,11.347826086956522,39.73913043478261,11.434782608695652,0.3695652173913043
